index,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Duration,Total_Stops,Additional_Info,Price
4096,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,04:55,7h 40m,1 stop,No info,8882.0
4097,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,11h,1 stop,No info,10197.0
4098,IndiGo,12/05/2019,Kolkata,Banglore,CCU → BLR,20:20,2h 35m,non-stop,No info,4804.0
4099,IndiGo,3/03/2019,Delhi,Cochin,DEL → BOM → COK,07:30,5h 50m,1 stop,No info,13628.0
4100,Vistara,27/05/2019,Delhi,Cochin,DEL → COK,14:40,3h 10m,non-stop,No info,6216.0
4101,Air India,21/05/2019,Delhi,Cochin,DEL → TRV → COK,05:15,25h 35m,1 stop,No info,7480.0
4102,Air India,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,10:00,6h 15m,1 stop,No info,11936.0
4103,Vistara,01/03/2019,Banglore,New Delhi,BLR → DEL,21:10,2h 55m,non-stop,No info,21730.0
4104,IndiGo,1/06/2019,Delhi,Cochin,DEL → BOM → COK,17:10,8h 20m,1 stop,No info,6628.0
4105,Air India,1/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,19h 55m,2 stops,No info,10151.0
4106,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,21h 25m,1 stop,No info,11467.0
4107,IndiGo,15/06/2019,Delhi,Cochin,DEL → BLR → COK,05:10,4h 55m,1 stop,No info,7010.0
4108,Jet Airways,3/04/2019,Banglore,Delhi,BLR → DEL,17:45,3h,non-stop,No info,7229.0
4109,IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,13:10,3h,non-stop,No info,8033.0
4110,IndiGo,9/06/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,5h 15m,1 stop,No info,6911.0
4111,Jet Airways,27/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,23h,2 stops,No info,14300.0
4112,Air India,9/06/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,07:00,18h 20m,2 stops,No info,13033.0
4113,IndiGo,24/05/2019,Banglore,Delhi,BLR → DEL,04:00,2h 50m,non-stop,No info,3943.0
4114,SpiceJet,09/03/2019,Banglore,New Delhi,BLR → DEL,09:35,2h 55m,non-stop,No info,6205.0
4115,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,7h 45m,1 stop,No info,16108.0
4116,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,12h 55m,1 stop,No info,17261.0
4117,SpiceJet,12/05/2019,Banglore,Delhi,BLR → DEL,05:55,2h 40m,non-stop,No info,3311.0
4118,IndiGo,9/06/2019,Banglore,Delhi,BLR → DEL,16:55,2h 50m,non-stop,No info,4823.0
4119,Air India,09/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,15h 20m,1 stop,No info,8425.0
4120,Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,11:10,2h 55m,non-stop,No info,7229.0
4121,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,20h 25m,1 stop,No info,17549.0
4122,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,13h,1 stop,No info,10197.0
4123,IndiGo,12/04/2019,Banglore,Delhi,BLR → DEL,08:30,2h 50m,non-stop,No info,4823.0
4124,Air India,3/06/2019,Delhi,Cochin,DEL → BLR → COK,17:40,15h 55m,1 stop,No info,7258.0
4125,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,12:50,12h 45m,1 stop,No info,18192.0
4126,Air India,1/05/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,19h 25m,2 stops,No info,13899.0
4127,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,6h 40m,1 stop,In-flight meal not included,10844.0
4128,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,24h 10m,1 stop,No info,14151.0
4129,GoAir,15/06/2019,Banglore,Delhi,BLR → DEL,07:45,2h 55m,non-stop,No info,3898.0
4130,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,19h 30m,1 stop,No info,14781.0
4131,Air Asia,21/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,8h 20m,2 stops,No info,5192.0
4132,Jet Airways,27/06/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,7h 5m,2 stops,No info,14441.0
4133,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,24h 40m,1 stop,No info,14151.0
4134,Air India,27/05/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,23h,2 stops,No info,9443.0
4135,Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,14h 5m,1 stop,No info,10678.0
4136,Jet Airways,21/06/2019,Mumbai,Hyderabad,BOM → HYD,02:55,1h 25m,non-stop,In-flight meal not included,4995.0
4137,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,7h 30m,1 stop,In-flight meal not included,10262.0
4138,SpiceJet,15/04/2019,Kolkata,Banglore,CCU → BLR,22:20,2h 20m,non-stop,No check-in baggage included,3841.0
4139,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,16h,1 stop,In-flight meal not included,9663.0
4140,IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,11:30,2h 35m,non-stop,No info,5224.0
4141,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12h 10m,1 stop,No info,14533.0
4142,SpiceJet,24/05/2019,Mumbai,Hyderabad,BOM → HYD,22:45,1h 30m,non-stop,No info,2017.0
4143,Jet Airways,12/06/2019,Banglore,Delhi,BLR → DEL,18:55,3h 5m,non-stop,In-flight meal not included,5769.0
4144,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,10:45,8h 5m,1 stop,No info,11622.0
4145,IndiGo,3/04/2019,Banglore,Delhi,BLR → DEL,18:55,2h 55m,non-stop,No info,4823.0
4146,Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,21h 20m,1 stop,In-flight meal not included,7832.0
4147,Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,11h 45m,1 stop,No info,9001.0
4148,IndiGo,27/06/2019,Mumbai,Hyderabad,BOM → HYD,12:00,1h 30m,non-stop,No info,2754.0
4149,IndiGo,9/03/2019,Delhi,Cochin,DEL → TRV → COK,21:05,4h 40m,1 stop,No info,6937.0
4150,Air India,6/06/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,15h 20m,2 stops,No info,13033.0
4151,Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → NAG → DEL,08:50,25h 25m,2 stops,No info,12778.0
4152,SpiceJet,1/06/2019,Kolkata,Banglore,CCU → BLR,14:55,2h 30m,non-stop,No check-in baggage included,3841.0
4153,IndiGo,18/03/2019,Mumbai,Hyderabad,BOM → HYD,21:20,1h 25m,non-stop,No info,2227.0
4154,SpiceJet,9/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,08:35,8h 40m,1 stop,No info,6171.0
4155,Air India,12/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,19h 55m,2 stops,No info,9443.0
4156,Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,17h 5m,2 stops,No info,13014.0
4157,IndiGo,18/03/2019,Mumbai,Hyderabad,BOM → HYD,02:30,1h 30m,non-stop,No info,2754.0
4158,Air India,27/03/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,14h 25m,2 stops,No info,8367.0
4159,Jet Airways,3/04/2019,Delhi,Cochin,DEL → BOM → COK,02:15,26h 10m,1 stop,In-flight meal not included,5177.0
4160,SpiceJet,18/04/2019,Kolkata,Banglore,CCU → BLR,17:10,2h 30m,non-stop,No info,4174.0
4161,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,08:45,10h 15m,1 stop,No info,9794.0
4162,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,09:45,6h 25m,1 stop,No info,10486.0
4163,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,11h 15m,1 stop,No info,15058.0
4164,IndiGo,27/04/2019,Kolkata,Banglore,CCU → BLR,22:15,2h 35m,non-stop,No info,4804.0
4165,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,27h 45m,1 stop,No info,17024.0
4166,Air India,9/06/2019,Delhi,Cochin,DEL → BOM → COK,21:00,10h 40m,1 stop,No info,8372.0
4167,Jet Airways,24/06/2019,Mumbai,Hyderabad,BOM → HYD,02:55,1h 25m,non-stop,nan,4050.0
4168,Jet Airways,12/05/2019,Banglore,Delhi,BLR → DEL,11:10,2h 55m,non-stop,nan,7229.0
4169,SpiceJet,18/03/2019,Mumbai,Hyderabad,BOM → HYD,05:45,1h 20m,non-stop,No check-in baggage included,2385.0
4170,GoAir,24/06/2019,Banglore,Delhi,BLR → DEL,11:40,2h 50m,non-stop,No info,3898.0
4171,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,01:30,2h 45m,non-stop,No info,6860.0
4172,Air India,21/05/2019,Kolkata,Banglore,CCU → VNS → DEL → BLR,14:30,8h 45m,2 stops,No info,15107.0
4173,SpiceJet,27/05/2019,Mumbai,Hyderabad,BOM → HYD,13:15,1h 30m,non-stop,No check-in baggage included,3873.0
4174,IndiGo,24/06/2019,Kolkata,Banglore,CCU → BLR,14:25,2h 30m,non-stop,No info,4804.0
4175,Air India,21/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,26h 35m,2 stops,No info,8236.0
4176,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,7h 30m,1 stop,In-flight meal not included,10262.0
4177,Vistara,27/05/2019,Chennai,Kolkata,MAA → CCU,17:45,2h 20m,non-stop,No info,11982.0
4178,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,8h 40m,1 stop,No info,8309.0
4179,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,7h 5m,2 stops,In-flight meal not included,13344.0
4180,Air India,1/04/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,14h 50m,1 stop,No info,4227.0
4181,Air India,21/03/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,19h 40m,2 stops,nan,9706.0
4182,SpiceJet,6/05/2019,Mumbai,Hyderabad,BOM → HYD,13:15,1h 30m,non-stop,No info,2017.0
4183,IndiGo,12/06/2019,Delhi,Cochin,DEL → HYD → COK,08:35,13h 55m,1 stop,No info,6442.0
4184,Jet Airways,15/06/2019,Banglore,Delhi,BLR → DEL,18:55,3h 5m,non-stop,No info,8016.0
4185,IndiGo,1/04/2019,Delhi,Cochin,DEL → HYD → COK,06:50,5h 20m,1 stop,No info,5298.0
4186,Vistara,21/05/2019,Banglore,Delhi,BLR → DEL,17:00,2h 35m,non-stop,No info,4878.0
4187,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,14h 25m,1 stop,In-flight meal not included,10262.0
4188,IndiGo,12/05/2019,Kolkata,Banglore,CCU → HYD → BLR,04:50,5h,1 stop,No info,4176.0
4189,IndiGo,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,14h 5m,1 stop,No info,5883.0
4190,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,9h,1 stop,No info,12717.0
4191,IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,07:55,2h 20m,non-stop,No info,3850.0
4192,IndiGo,27/05/2019,Chennai,Kolkata,MAA → CCU,19:35,2h 20m,non-stop,No info,3597.0
4193,SpiceJet,9/05/2019,Mumbai,Hyderabad,BOM → HYD,13:15,1h 30m,non-stop,No check-in baggage included,2175.0
4194,Air Asia,12/04/2019,Banglore,Delhi,BLR → DEL,23:55,2h 50m,non-stop,No info,7080.0
4195,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,11h 5m,1 stop,In-flight meal not included,8849.0
4196,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,11h 25m,1 stop,In-flight meal not included,9899.0
4197,Vistara,15/06/2019,Banglore,Delhi,BLR → DEL,07:00,2h 40m,non-stop,No info,4878.0
4198,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,07:30,11h 45m,1 stop,No info,7787.0
4199,SpiceJet,3/05/2019,Chennai,Kolkata,MAA → CCU,17:45,2h 20m,non-stop,No info,3597.0
4200,GoAir,1/04/2019,Delhi,Cochin,DEL → BOM → COK,10:35,9h,1 stop,No info,5281.0
4201,IndiGo,6/06/2019,Delhi,Cochin,DEL → BOM → COK,09:15,11h 45m,1 stop,No info,6838.0
4202,SpiceJet,3/06/2019,Chennai,Kolkata,MAA → CCU,17:45,2h 20m,non-stop,No info,3597.0
4203,SpiceJet,21/03/2019,Mumbai,Hyderabad,BOM → HYD,05:45,1h 20m,non-stop,No info,3173.0
4204,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,7h 15m,1 stop,No info,13377.0
4205,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,21h 35m,1 stop,In-flight meal not included,9314.0
4206,Multiple carriers,9/03/2019,Delhi,Cochin,DEL → HYD → COK,13:15,9h 5m,1 stop,No info,9856.0
4207,Air India,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,11h 15m,1 stop,No info,8372.0
4208,IndiGo,24/05/2019,Delhi,Cochin,DEL → HYD → COK,14:20,8h 10m,1 stop,No info,7640.0
4209,Air India,1/04/2019,Banglore,Delhi,BLR → DEL,21:05,2h 50m,non-stop,No info,4441.0
4210,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19h 25m,1 stop,In-flight meal not included,12898.0
4211,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,21h 25m,1 stop,In-flight meal not included,7064.0
4212,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,12h 20m,1 stop,In-flight meal not included,10844.0
4213,SpiceJet,9/06/2019,Kolkata,Banglore,CCU → BLR,09:00,2h 25m,non-stop,No info,4174.0
4214,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,28h 15m,1 stop,In-flight meal not included,8529.0
4215,IndiGo,21/05/2019,Banglore,Delhi,BLR → DEL,00:30,2h 55m,non-stop,No info,5054.0
4216,IndiGo,24/05/2019,Chennai,Kolkata,MAA → CCU,05:15,2h 25m,non-stop,No info,3850.0
4217,Air India,24/05/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,16:50,20h 55m,2 stops,No info,12802.0
4218,SpiceJet,6/03/2019,Delhi,Cochin,DEL → MAA → COK,15:55,6h,1 stop,No info,3873.0
4219,IndiGo,21/06/2019,Banglore,Delhi,BLR → DEL,21:15,3h,non-stop,No info,3943.0
4220,IndiGo,3/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,9h 20m,1 stop,No info,7514.0
4221,Air India,6/03/2019,Mumbai,Hyderabad,BOM → GOI → PNQ → HYD,21:10,4h 15m,2 stops,No info,17327.0
4222,Air India,27/03/2019,Delhi,Cochin,DEL → HYD → BOM → COK,13:05,18h 35m,2 stops,No info,8892.0
4223,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,10:20,8h 40m,1 stop,No info,10197.0
4224,IndiGo,1/04/2019,Banglore,Delhi,BLR → DEL,00:30,2h 55m,non-stop,No info,4423.0
4225,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,18:15,24h 45m,1 stop,No info,15554.0
4226,Vistara,1/05/2019,Chennai,Kolkata,MAA → CCU,17:45,2h 20m,non-stop,No info,11982.0
4227,IndiGo,3/06/2019,Mumbai,Hyderabad,BOM → HYD,06:25,1h 30m,non-stop,No info,4049.0
4228,IndiGo,24/03/2019,Kolkata,Banglore,CCU → BLR,14:20,2h 35m,non-stop,No info,5618.0
4229,Air India,27/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,23h,2 stops,No info,13591.0
4230,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,15h 30m,1 stop,No info,9508.0
4231,SpiceJet,18/06/2019,Chennai,Kolkata,MAA → CCU,09:45,2h 15m,non-stop,nan,3543.0
4232,Jet Airways,18/04/2019,Banglore,Delhi,BLR → DEL,18:55,3h 5m,non-stop,No info,7229.0
4233,Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,11:30,2h 50m,non-stop,No info,4668.0
4234,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,20h,1 stop,No info,14388.0
4235,SpiceJet,3/04/2019,Mumbai,Hyderabad,BOM → HYD,05:45,1h 30m,non-stop,No check-in baggage included,1965.0
4236,Air India,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:30,12h 25m,1 stop,No info,10203.0
4237,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,9h 30m,1 stop,No info,15149.0
4238,Vistara,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,6h 25m,1 stop,No info,9345.0
4239,Vistara,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,16h 15m,1 stop,No info,9345.0
4240,Air India,6/05/2019,Kolkata,Banglore,CCU → MAA → BLR,14:35,24h 45m,1 stop,No info,6528.0
4241,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,07:00,6h 20m,1 stop,No info,15603.0
4242,Jet Airways,24/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,21h 40m,2 stops,No info,13376.0
4243,SpiceJet,27/06/2019,Delhi,Cochin,DEL → MAA → COK,06:05,5h 15m,1 stop,No info,5583.0
4244,Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,27h,1 stop,In-flight meal not included,10577.0
4245,Air India,15/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,19h 40m,2 stops,No info,10651.0
4246,Air Asia,1/05/2019,Kolkata,Banglore,CCU → BBI → BLR,06:50,3h 40m,1 stop,No info,6857.0
4247,IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,13:00,2h 50m,non-stop,No info,4423.0
4248,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,7h 5m,2 stops,In-flight meal not included,13344.0
4249,SpiceJet,27/04/2019,Banglore,Delhi,BLR → DEL,21:10,2h 55m,non-stop,No info,3971.0
4250,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,10h,1 stop,No info,18371.0
4251,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,7h 45m,1 stop,No info,10197.0
4252,Air India,1/05/2019,Banglore,Delhi,BLR → DEL,10:00,2h 45m,non-stop,No info,6121.0
4253,SpiceJet,3/03/2019,Mumbai,Hyderabad,BOM → HYD,13:10,1h 20m,non-stop,No info,5755.0
4254,Air India,9/04/2019,Delhi,Cochin,DEL → MAA → COK,20:40,12h 45m,1 stop,No info,4487.0
4255,SpiceJet,21/05/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,4h 30m,1 stop,No check-in baggage included,5158.0
4256,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,8h 40m,1 stop,In-flight meal not included,8586.0
4257,Air India,1/06/2019,Mumbai,Hyderabad,BOM → HYD,06:20,1h 20m,non-stop,No info,3100.0
4258,Jet Airways,9/05/2019,Mumbai,Hyderabad,BOM → HYD,02:55,1h 25m,non-stop,In-flight meal not included,3210.0
4259,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,19:15,17h 20m,1 stop,In-flight meal not included,12373.0
4260,Jet Airways,27/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:30,13h 30m,2 stops,No info,13292.0
4261,Jet Airways,12/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,22h,2 stops,In-flight meal not included,10919.0
4262,Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,21:55,25h,1 stop,nan,12395.0
4263,SpiceJet,21/06/2019,Chennai,Kolkata,MAA → CCU,09:45,2h 15m,non-stop,No check-in baggage included,3543.0
4264,Jet Airways,6/05/2019,Mumbai,Hyderabad,BOM → HYD,19:35,1h 30m,non-stop,In-flight meal not included,2228.0
4265,Air India,21/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,23h 30m,2 stops,No info,8236.0
4266,Air Asia,3/06/2019,Delhi,Cochin,DEL → BLR → COK,16:45,13h 50m,1 stop,No info,11410.0
4267,GoAir,24/06/2019,Kolkata,Banglore,CCU → BLR,15:20,2h 35m,non-stop,No info,3514.0
4268,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,11h 30m,1 stop,In-flight meal not included,13469.0
4269,IndiGo,9/04/2019,Banglore,Delhi,BLR → DEL,21:15,3h,non-stop,No info,3943.0
4270,Air India,27/05/2019,Banglore,Delhi,BLR → DEL,10:00,2h 45m,non-stop,No info,6961.0
4271,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,09:15,9h 45m,1 stop,No info,12042.0
4272,Air India,09/03/2019,Banglore,New Delhi,BLR → VGA → HYD → DEL,10:30,10h 55m,2 stops,No info,9586.0
4273,SpiceJet,1/06/2019,Chennai,Kolkata,MAA → CCU,08:20,2h 15m,non-stop,No check-in baggage included,3543.0
4274,Air Asia,12/06/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,8h 20m,2 stops,No info,5192.0
4275,IndiGo,27/03/2019,Delhi,Cochin,DEL → HYD → COK,06:40,15h 40m,1 stop,No info,6442.0
4276,Jet Airways,6/05/2019,Delhi,Cochin,DEL → BOM → COK,22:50,13h 45m,1 stop,No info,15554.0
4277,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,21h 25m,1 stop,nan,10844.0
4278,IndiGo,3/04/2019,Mumbai,Hyderabad,BOM → HYD,12:00,1h 30m,non-stop,No info,2754.0
4279,GoAir,27/04/2019,Delhi,Cochin,DEL → AMD → COK,07:25,6h 10m,1 stop,No info,5140.0
4280,IndiGo,9/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,14h 55m,1 stop,No info,8330.0
4281,Jet Airways,3/03/2019,Mumbai,Hyderabad,BOM → HYD,19:35,1h 30m,non-stop,No info,5678.0
4282,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,19h 30m,1 stop,In-flight meal not included,11087.0
4283,GoAir,01/03/2019,Banglore,New Delhi,BLR → DEL,20:55,2h 55m,non-stop,No info,18558.0
4284,IndiGo,1/03/2019,Mumbai,Hyderabad,BOM → HYD,02:30,1h 30m,non-stop,No info,16000.0
4285,SpiceJet,6/05/2019,Banglore,Delhi,BLR → DEL,21:10,2h 55m,non-stop,No check-in baggage included,3573.0
4286,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,12:50,12h 40m,1 stop,No info,7670.0
4287,Vistara,15/05/2019,Banglore,Delhi,BLR → DEL,17:00,2h 35m,non-stop,No info,4878.0
4288,Jet Airways,27/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,21h 35m,2 stops,In-flight meal not included,11507.0
4289,Air Asia,6/06/2019,Delhi,Cochin,DEL → BLR → COK,07:55,5h 30m,1 stop,No info,8759.0
4290,Air India,21/05/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:05,26h 20m,2 stops,No info,10975.0
4291,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,8h 10m,1 stop,In-flight meal not included,6007.0
4292,IndiGo,21/03/2019,Chennai,Kolkata,MAA → CCU,11:35,2h 25m,non-stop,No info,3858.0
4293,Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,10h 40m,1 stop,In-flight meal not included,18260.0
4294,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,18:25,2h 55m,non-stop,No info,8855.0
4295,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,9h 50m,1 stop,In-flight meal not included,10844.0
4296,SpiceJet,27/05/2019,Chennai,Kolkata,MAA → CCU,08:20,2h 15m,non-stop,No info,3597.0
4297,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,28h 5m,1 stop,No info,13067.0
4298,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,17h 50m,1 stop,No info,13817.0
4299,Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,16h 30m,1 stop,No info,11602.0
4300,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,25h 45m,1 stop,No info,13941.0
4301,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,22h 45m,1 stop,No info,14151.0
4302,IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,04:00,2h 50m,non-stop,No info,3943.0
4303,SpiceJet,18/06/2019,Mumbai,Hyderabad,BOM → HYD,05:45,1h 30m,non-stop,No info,2753.0
4304,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,16h 45m,1 stop,No info,14714.0
4305,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,9h 5m,1 stop,No info,9646.0
4306,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,5h 30m,1 stop,No info,15554.0
4307,Jet Airways,15/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:30,13h 30m,2 stops,nan,11507.0
4308,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,6h 30m,1 stop,No info,9424.0
4309,GoAir,12/04/2019,Banglore,Delhi,BLR → DEL,11:40,2h 50m,non-stop,No info,4937.0
4310,SpiceJet,6/06/2019,Banglore,Delhi,BLR → DEL,21:10,2h 55m,non-stop,No check-in baggage included,3257.0
4311,IndiGo,6/05/2019,Banglore,Delhi,BLR → DEL,08:30,2h 50m,non-stop,No info,4823.0
4312,IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,22:05,2h 20m,non-stop,No info,5277.0
4313,SpiceJet,9/04/2019,Kolkata,Banglore,CCU → BLR,17:10,2h 30m,non-stop,No info,3873.0
4314,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,12h 10m,1 stop,In-flight meal not included,10844.0
4315,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,17:00,8h 30m,1 stop,No info,7198.0
4316,Air India,15/05/2019,Delhi,Cochin,DEL → COK,05:10,2h 50m,non-stop,No info,6094.0
4317,IndiGo,3/05/2019,Banglore,Delhi,BLR → DEL,06:05,2h 45m,non-stop,No info,5054.0
4318,IndiGo,15/05/2019,Banglore,Delhi,BLR → DEL,21:15,3h,non-stop,No info,3943.0
4319,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,16h,1 stop,No info,12681.0
4320,Vistara,15/04/2019,Banglore,Delhi,BLR → DEL,17:00,2h 35m,non-stop,nan,5613.0
4321,SpiceJet,24/05/2019,Kolkata,Banglore,CCU → BLR,09:00,2h 25m,non-stop,No info,3873.0
4322,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,23h 35m,1 stop,In-flight meal not included,12898.0
