Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Duration
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 13 May,1 stop,No info,13941.0,7.5h
Jet Airways,6/05/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,non-stop,No info,7229.0,3.083333333333333h
SpiceJet,15/05/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,non-stop,No info,3873.0,2.583333333333333h
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,19:00,1 stop,No info,14714.0,7.5h
Air Asia,24/03/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:25,22:55,2 stops,No info,11245.0,7.5h
IndiGo,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,01:30 28 May,1 stop,No info,6104.0,14.083333333333334h
IndiGo,6/03/2019,Delhi,Cochin,DEL → HYD → COK,07:35,nan,1 stop,No info,7094.0,14.75h
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:45 25 Mar,1 stop,In-flight meal not included,10031.0,22.25h
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,05:45,12:00,1 stop,No info,13941.0,6.25h
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 25 Jun,1 stop,No info,7198.0,6.5h
SpiceJet,24/03/2019,Banglore,New Delhi,BLR → DEL,09:35,12:30,non-stop,No check-in baggage included,nan,2.9166666666666665h
Air India,12/03/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,non-stop,No info,5747.0,2.5h
Air India,15/06/2019,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,non-stop,No info,3100.0,1.25h
Air India,6/05/2019,Kolkata,Banglore,CCU → BBI → BLR,09:10,13:15,1 stop,No info,8996.0,4.083333333333333h
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:00,1 stop,No info,9103.0,8.416666666666666h
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:40,09:30 02 Mar,1 stop,1 Long layover,31825.0,14.833333333333334h
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,10:05 16 May,1 stop,No info,14781.0,17.583333333333332h
Jet Airways,18/05/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,non-stop,No info,7229.0,3.0h
IndiGo,nan,Banglore,New Delhi,BLR → DEL,23:30,02:20 02 Mar,non-stop,No info,10067.0,2.833333333333333h
Jet Airways,9/04/2019,Delhi,Cochin,DEL → JAI → BOM → COK,nan,04:25 10 Apr,2 stops,nan,10909.0,18.75h
IndiGo,27/04/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,non-stop,No info,4804.0,2.583333333333333h
Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,non-stop,In-flight meal not included,4050.0,1.4166666666666667h
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,23:35 16 May,1 stop,No info,14151.0,27.166666666666668h
SpiceJet,1/06/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,non-stop,No check-in baggage included,3841.0,2.583333333333333h
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,1 stop,No info,14781.0,5.75h
nan,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:25,1 stop,No info,9870.0,6.416666666666667h
Air India,27/05/2019,Delhi,Cochin,DEL → BLR → COK,13:30,23:00,1 stop,No info,8907.0,9.5h
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,07:40 02 Mar,1 stop,No info,26890.0,8.833333333333334h
GoAir,15/04/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,nan,No info,nan,5.916666666666667h
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,19:10,1 stop,In-flight meal not included,7832.0,5.083333333333333h
Vistara,24/03/2019,nan,New Delhi,BLR → DEL,16:00,18:35,non-stop,No info,5613.0,2.583333333333333h
IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,00:30,03:25,non-stop,No info,4284.0,2.9166666666666665h
Vistara,6/05/2019,Banglore,Delhi,BLR → DEL,21:00,23:50,non-stop,No info,4668.0,2.833333333333333h
Air India,3/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,1 stop,No info,15197.0,11.25h
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,1 stop,In-flight meal not included,9899.0,7.916666666666667h
GoAir,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:35,1 stop,nan,3948.0,9.0h
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,08:15 16 Mar,1 stop,In-flight meal not included,10405.0,23.33333333333333h
Multiple carriers,9/06/2019,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,11:35,01:30 10 Jun,3 stops,No info,15419.0,13.916666666666666h
Multiple carriers,3/03/2019,Delhi,nan,DEL → BOM → COK,nan,18:50,1 stop,nan,15135.0,10.416666666666666h
nan,21/03/2019,Delhi,nan,DEL → BOM → COK,06:00,12:35,1 stop,No info,nan,6.583333333333333h
Jet Airways,27/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,2 stops,No info,18804.0,7.333333333333333h
Air Asia,9/05/2019,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 10 May,1 stop,No info,6751.0,10.416666666666666h
Air India,9/05/2019,Kolkata,Banglore,nan,20:30,08:55 10 May,1 stop,No info,10203.0,12.416666666666666h
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,21:20,1 stop,No info,27992.0,14.333333333333334h
Air India,12/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,07:10,19:15,2 stops,No info,12488.0,12.083333333333334h
Jet Airways,12/04/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,non-stop,In-flight meal not included,5198.0,3.0h
Jet Airways,1/05/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,non-stop,No info,7229.0,3.0h
Air India,12/06/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,23:15,2 stops,No info,12723.0,17.416666666666668h
Air India,6/03/2019,Mumbai,Hyderabad,BOM → BHO → DEL → HYD,06:00,09:10 07 Mar,2 stops,No info,13169.0,27.166666666666668h
Air India,15/05/2019,Kolkata,Banglore,CCU → BOM → HBX → BLR,09:25,18:20,2 stops,No info,8366.0,8.916666666666666h
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,06:00,21:00,1 stop,No info,7670.0,nanh
Jet Airways,1/04/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,non-stop,No info,7229.0,nanh
Vistara,1/06/2019,Banglore,Delhi,BLR → DEL,21:00,23:50,non-stop,No info,4668.0,2.833333333333333h
Air Asia,9/03/2019,Delhi,Cochin,DEL → BLR → COK,20:10,07:10 10 Mar,1 stop,No info,8327.0,11.0h
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,12:35 22 May,1 stop,In-flight meal not included,12898.0,15.666666666666666h
IndiGo,6/05/2019,Kolkata,Banglore,CCU → MAA → BLR,06:20,10:20,1 stop,No info,4226.0,4.0h
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,19:00 28 Jun,1 stop,In-flight meal not included,10262.0,23.75h
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,19:00,1 stop,No info,10678.0,14.083333333333334h
Air India,21/03/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,07:40 22 Mar,2 stops,nan,8052.0,14.416666666666666h
GoAir,24/03/2019,Banglore,New Delhi,BLR → DEL,11:40,14:35,non-stop,No info,3898.0,2.9166666666666665h
Air Asia,nan,Kolkata,Banglore,CCU → BLR,10:20,12:55,non-stop,No info,3807.0,2.583333333333333h
nan,3/06/2019,Delhi,Cochin,DEL → BOM → COK,09:15,21:00,1 stop,No info,6838.0,11.75h
Jet Airways,24/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,nan,No info,13014.0,13.5h
IndiGo,12/04/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,non-stop,No info,5224.0,2.5h
Multiple carriers,6/06/2019,nan,Cochin,DEL → BOM → COK,13:00,01:30 07 Jun,1 stop,No info,13377.0,12.5h
GoAir,21/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,1 stop,No info,6633.0,5.916666666666667h
Air Asia,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,23:30,1 stop,No info,5192.0,15.916666666666666h
IndiGo,18/04/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 19 Apr,non-stop,No info,4591.0,2.833333333333333h
Air India,12/05/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,non-stop,No info,nan,2.583333333333333h
Jet Airways,27/04/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,non-stop,No info,7229.0,3.0h
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,19:45,04:25 10 May,1 stop,In-flight meal not included,12373.0,8.666666666666666h
Air India,27/04/2019,Delhi,Cochin,nan,14:10,17:10,non-stop,No info,6094.0,3.0h
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,12:35 13 Jun,1 stop,In-flight meal not included,nan,15.666666666666666h
Jet Airways,9/04/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,2 stops,No info,15439.0,7.333333333333333h
IndiGo,6/05/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 07 May,non-stop,No info,4077.0,2.833333333333333h
GoAir,18/05/2019,Banglore,Delhi,BLR → DEL,20:55,23:40,non-stop,No info,4632.0,2.75h
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,1 stop,No info,12692.0,8.416666666666666h
IndiGo,24/04/2019,Kolkata,Banglore,CCU → HYD → BLR,19:20,23:45,1 stop,No info,3480.0,4.416666666666667h
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → IXU → BOM → COK,17:50,01:30 19 May,2 stops,nan,19360.0,7.666666666666667h
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,08:15 16 Mar,1 stop,In-flight meal not included,9134.0,20.58333333333333h
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,1 stop,No info,13587.0,7.0h
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 10 May,1 stop,No info,15554.0,25.5h
Jet Airways,09/03/2019,Banglore,New Delhi,BLR → DEL,19:55,22:35,non-stop,No info,7229.0,2.6666666666666665h
IndiGo,6/03/2019,Delhi,nan,DEL → HYD → COK,08:35,22:20,1 stop,No info,7514.0,13.75h
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,1 stop,No info,13587.0,13.0h
Jet Airways,9/06/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,non-stop,In-flight meal not included,7229.0,3.0h
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 02 Jun,1 stop,In-flight meal not included,10262.0,26.166666666666668h
IndiGo,3/03/2019,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,1 stop,No info,14871.0,13.5h
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,1 stop,No info,nan,10.25h
IndiGo,12/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,22:30,1 stop,No info,6442.0,14.916666666666666h
IndiGo,21/05/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:05,1 stop,No info,5170.0,4.833333333333333h
IndiGo,15/05/2019,Delhi,Cochin,DEL → HYD → COK,07:35,22:30,1 stop,No info,6442.0,14.916666666666666h
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,00:30,03:25,non-stop,No info,3419.0,2.9166666666666665h
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,nan,1 stop,No info,17261.0,13.833333333333334h
SpiceJet,24/06/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,non-stop,No check-in baggage included,3543.0,2.25h
Air Asia,12/05/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,non-stop,No info,3383.0,2.75h
Air India,24/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 25 Jun,2 stops,No info,9181.0,21.25h
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,11:25 13 Mar,1 stop,In-flight meal not included,11087.0,16.5h
nan,18/04/2019,Banglore,Delhi,BLR → DEL,nan,10:10,non-stop,nan,7229.0,3.0h
Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,1 stop,No info,nan,14.5h
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,23:00,1 stop,No info,16736.0,16.0h
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,04:25 25 Jun,1 stop,In-flight meal not included,10262.0,10.916666666666666h
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,1 stop,In-flight meal not included,10262.0,5.0h
Jet Airways,nan,Mumbai,Hyderabad,BOM → HYD,02:55,nan,non-stop,No info,5678.0,1.4166666666666667h
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,15:30,1 stop,No info,8307.0,6.5h
Air India,18/05/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 19 May,1 stop,No info,7690.0,16.083333333333332h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13:25,12:35 19 May,2 stops,No info,16704.0,23.166666666666668h
Air India,9/03/2019,Delhi,Cochin,DEL → BOM → COK,04:00,07:40 10 Mar,1 stop,No info,10315.0,27.666666666666668h
Jet Airways,27/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 28 May,2 stops,No info,15129.0,26.916666666666668h
Air India,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,07:00,08:55 25 Mar,1 stop,No info,12173.0,25.916666666666668h
Air India,3/04/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 04 Apr,1 stop,No info,4227.0,16.083333333333332h
IndiGo,12/06/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,non-stop,No info,3943.0,2.75h
Jet Airways,1/06/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,non-stop,In-flight meal not included,7229.0,2.9166666666666665h
Vistara,15/05/2019,Kolkata,Banglore,nan,07:10,20:20,1 stop,No info,8610.0,13.166666666666666h
nan,09/03/2019,Banglore,New Delhi,BLR → DEL,07:10,10:05,non-stop,No info,7303.0,2.9166666666666665h
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:40,07:40 16 Mar,1 stop,In-flight meal not included,10972.0,13.0h
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,1 stop,No info,7670.0,10.666666666666666h
Air India,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,1 stop,No info,8372.0,9.25h
IndiGo,1/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 02 Jun,1 stop,nan,6628.0,10.5h
Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,12:35 10 Jun,1 stop,In-flight meal not included,10262.0,23.58333333333333h
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,09:20 25 May,1 stop,No info,14178.0,16.833333333333332h
Jet Airways,27/03/2019,Delhi,Cochin,DEL → MAA → BOM → COK,05:10,18:50,2 stops,In-flight meal not included,8518.0,13.666666666666666h
Jet Airways,24/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 25 Jun,2 stops,No info,13376.0,22.0h
Vistara,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,10:45 13 Jun,1 stop,No info,8452.0,17.75h
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,1 stop,No info,18371.0,10.333333333333334h
SpiceJet,3/04/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,non-stop,No check-in baggage included,1965.0,1.5h
Jet Airways,1/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 02 Jun,2 stops,In-flight meal not included,10368.0,17.083333333333332h
Jet Airways,6/05/2019,Kolkata,nan,CCU → DEL → BLR,20:25,18:00 07 May,1 stop,No info,11467.0,21.58333333333333h
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 10 May,1 stop,No info,14781.0,12.166666666666666h
Air India,6/03/2019,Mumbai,Hyderabad,BOM → BLR → HYD,20:15,09:15 07 Mar,1 stop,No info,9535.0,13.0h
Air India,3/04/2019,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,non-stop,No info,2050.0,1.3333333333333333h
Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 13 Jun,nan,In-flight meal not included,10368.0,8.916666666666666h
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,22:35,1 stop,In-flight meal not included,10031.0,14.166666666666666h
SpiceJet,21/04/2019,nan,Banglore,CCU → BLR,09:00,11:25,non-stop,No info,4491.0,2.4166666666666665h
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,17:45,20:45,non-stop,No info,7229.0,3.0h
nan,03/03/2019,Banglore,New Delhi,BLR → PNQ → DEL,10:20,18:15,1 stop,No info,11401.0,7.916666666666667h
IndiGo,27/06/2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,non-stop,No info,3597.0,2.333333333333333h
Vistara,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:05 13 Jun,1 stop,No info,7927.0,16.083333333333332h
SpiceJet,1/05/2019,Kolkata,nan,CCU → BLR,09:00,11:25,non-stop,nan,4174.0,nanh
Air India,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:00,16:15,1 stop,No info,nan,9.25h
Vistara,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,20:20,1 stop,No info,8610.0,13.166666666666666h
Jet Airways,12/06/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,non-stop,In-flight meal not included,5769.0,2.9166666666666665h
IndiGo,1/05/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,non-stop,No info,5644.0,2.583333333333333h
Jet Airways,3/06/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,non-stop,In-flight meal not included,5769.0,3.0h
Jet Airways,15/05/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,non-stop,No info,7229.0,2.75h
IndiGo,9/06/2019,Kolkata,Banglore,CCU → MAA → BLR,06:20,10:20,1 stop,No info,4226.0,4.0h
IndiGo,nan,Banglore,New Delhi,BLR → HYD → DEL,12:05,17:05,1 stop,No info,nan,5.0h
Jet Airways,21/05/2019,Mumbai,Hyderabad,BOM → HYD,nan,11:50,non-stop,In-flight meal not included,4995.0,1.5h
Jet Airways,1/04/2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 02 Apr,1 stop,In-flight meal not included,5406.0,19.08333333333333h
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,non-stop,No info,nan,2.5h
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,18:50,1 stop,No info,17024.0,7.333333333333333h
SpiceJet,9/06/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,1 stop,No check-in baggage included,5158.0,4.5h
Jet Airways,1/05/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,non-stop,No info,8040.0,1.5h
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,05:45,16:20,1 stop,In-flight meal not included,10844.0,10.583333333333334h
Air India,12/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,non-stop,No info,4667.0,2.25h
Jet Airways,3/04/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,non-stop,No info,5678.0,1.5h
Air India,12/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,20:25,2 stops,No info,12513.0,14.583333333333334h
Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,non-stop,No info,8016.0,3.0h
SpiceJet,1/06/2019,Chennai,Kolkata,MAA → CCU,nan,20:05,non-stop,nan,3543.0,2.333333333333333h
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,17:30,04:25 22 Mar,1 stop,In-flight meal not included,5963.0,10.916666666666666h
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,1 stop,No info,14781.0,7.916666666666667h
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,12:35 19 May,1 stop,In-flight meal not included,12373.0,27.58333333333333h
Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,non-stop,In-flight meal not included,3210.0,1.5h
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,18:25,1 stop,In-flight meal not included,9134.0,12.666666666666666h
Jet Airways,6/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25 07 Jun,2 stops,In-flight meal not included,10919.0,nanh
IndiGo,1/05/2019,Mumbai,Hyderabad,BOM → HYD,09:10,10:40,non-stop,No info,4575.0,1.5h
IndiGo,15/06/2019,Delhi,Cochin,DEL → COK,05:35,08:50,non-stop,No info,5601.0,3.25h
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,1 stop,No info,14151.0,6.583333333333333h
Air India,6/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,07:55 07 May,2 stops,No info,10151.0,19.916666666666668h
Vistara,18/04/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,non-stop,No info,5403.0,2.833333333333333h
IndiGo,27/05/2019,Delhi,Cochin,nan,02:00,07:45,1 stop,No info,6147.0,5.75h
IndiGo,27/06/2019,Kolkata,nan,CCU → BLR,14:25,16:55,non-stop,No info,nan,2.5h
nan,27/03/2019,Delhi,Cochin,DEL → BOM → COK,08:55,19:15,1 stop,No info,8371.0,10.333333333333334h
Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 10 Jun,2 stops,No info,13014.0,8.916666666666666h
Air Asia,24/05/2019,Banglore,Delhi,BLR → DEL,04:55,07:45,non-stop,No info,3383.0,2.833333333333333h
SpiceJet,6/03/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,non-stop,No info,7298.0,2.333333333333333h
Jet Airways,3/04/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,non-stop,In-flight meal not included,4544.0,3.0h
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,08:55,15:30,1 stop,No info,15147.0,6.583333333333333h
Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,19:45,1 stop,nan,10782.0,15.0h
IndiGo,15/05/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,1 stop,No info,6027.0,4.833333333333333h
Jet Airways,6/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25 07 Jun,2 stops,In-flight meal not included,10919.0,13.833333333333334h
Air India,27/03/2019,Delhi,Cochin,DEL → BLR → COK,06:10,08:15 28 Mar,1 stop,No info,6681.0,26.08333333333333h
IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 25 Jun,non-stop,No info,3943.0,2.833333333333333h
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,12:35 28 May,1 stop,In-flight meal not included,12898.0,14.75h
IndiGo,6/06/2019,Delhi,Cochin,nan,18:35,01:30 07 Jun,1 stop,No info,6628.0,6.916666666666667h
Air India,3/04/2019,Delhi,Cochin,DEL → BLR → COK,20:30,23:00 04 Apr,1 stop,No info,5022.0,26.5h
Air India,3/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,07:10,07:40 04 Jun,2 stops,No info,12698.0,24.5h
Air Asia,9/06/2019,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 10 Jun,1 stop,No info,10794.0,10.416666666666666h
IndiGo,9/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,1 stop,No info,6416.0,9.583333333333334h
nan,nan,nan,Banglore,CCU → BLR,22:20,00:40 10 Mar,non-stop,No info,nan,2.333333333333333h
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,13:00,15:50,non-stop,No info,3943.0,2.833333333333333h
Air Asia,6/06/2019,Kolkata,Banglore,CCU → BLR,19:55,22:25,non-stop,No info,4508.0,2.5h
Vistara,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,22:40,1 stop,No info,8452.0,15.5h
Air India,12/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,08:55 13 May,2 stops,No info,13437.0,16.166666666666668h
Vistara,18/05/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,non-stop,No info,11982.0,2.333333333333333h
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 25 May,1 stop,In-flight meal not included,10844.0,17.083333333333332h
Jet Airways,9/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 10 May,2 stops,No info,15129.0,18.75h
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,1 stop,No info,14714.0,5.0h
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,06:40,21:00,1 stop,nan,6093.0,14.333333333333334h
IndiGo,6/04/2019,Delhi,Cochin,DEL → BOM → COK,04:55,13:20,1 stop,No info,5307.0,8.416666666666666h
GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,14:25,19:35,nan,No info,10188.0,5.166666666666667h
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,nan,1 stop,No info,14571.0,12.25h
Jet Airways,27/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,04:25 28 Mar,2 stops,No info,10976.0,9.25h
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,16:20,1 stop,In-flight meal not included,10844.0,9.833333333333334h
IndiGo,9/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,non-stop,No info,4488.0,2.583333333333333h
Air India,24/05/2019,Delhi,Cochin,DEL → BOM → COK,23:00,19:15 25 May,1 stop,No info,8582.0,20.25h
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,19:45,12:35 25 Jun,1 stop,In-flight meal not included,10262.0,16.833333333333332h
Vistara,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,10:45 07 May,1 stop,No info,8662.0,17.75h
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,06:00,08:45,non-stop,No info,4777.0,2.75h
nan,27/03/2019,Mumbai,Hyderabad,BOM → HYD,15:50,17:20,non-stop,In-flight meal not included,2071.0,1.5h
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,15:15 13 Mar,nan,In-flight meal not included,nan,16.333333333333332h
Air India,18/04/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,non-stop,No info,5228.0,2.833333333333333h
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,16:20,1 stop,No info,12996.0,9.833333333333334h
