mon,dom,dow,carrier,flight,org,depart,duration,delay,km
0,7,1,AA,185,JFK,20.75,385,29,3983
11,17,3,WN,3097,SFO,16.25,90,None,666
0,8,2,UA,1477,ORD,8.62,232,16,2317
0,30,3,OO,5951,ORD,8.25,108,-4,790
2,11,2,AA,2245,ORD,19,165,39,1802
5,17,2,WN,1795,SMF,6.42,90,-2,772
3,7,1,OO,5954,ORD,7.53,75,-10,520
10,29,6,OO,6087,ORD,11.98,102,0,790
6,27,0,OO,6093,SFO,20.78,72,152,525
7,1,5,B6,65,JFK,10.75,172,-9,1617
10,6,4,UA,186,SFO,13.65,317,185,4057
2,25,2,OO,6059,ORD,10.78,133,-2,1188
6,25,5,US,2132,LGA,15,70,-11,298
5,15,0,UA,446,ORD,15.75,115,40,964
4,15,4,OO,5979,ORD,17.02,50,2,196
6,19,6,UA,634,ORD,6.48,120,61,1157
3,24,4,UA,828,ORD,20.75,138,4,1395
10,21,5,US,670,ORD,5.75,126,45,1091
5,28,6,B6,101,JFK,7.83,362,81,4146
8,13,6,AA,1872,ORD,11.58,155,18,1617
1,24,0,WN,729,SMF,20.75,85,14,772
7,8,5,OH,5271,ORD,19.25,71,None,425
8,29,1,US,782,SFO,13.08,294,81,3695
3,17,4,AA,350,ORD,18.08,140,19,1180
1,13,3,OO,6669,ORD,10.07,194,-15,1909
1,29,5,WN,1555,SMF,10,75,-1,626
11,6,6,UA,75,SFO,12.67,325,-45,3859
11,16,2,UA,912,ORD,18.75,94,None,761
2,14,5,AA,354,ORD,17.58,144,40,1180
8,21,0,AA,2341,ORD,16.83,145,-2,1291
2,11,2,WN,3938,SJC,20.92,75,-4,550
1,19,2,UA,614,ORD,13.17,107,23,985
10,9,0,AA,1639,JFK,17.17,250,20,2570
11,21,0,B6,1107,JFK,17.75,127,None,686
8,1,1,UA,168,SJC,13.9,148,16,1526
10,5,3,AA,1869,ORD,21,70,-15,415
6,6,0,AA,33,JFK,7.75,350,36,3983
6,13,0,WN,1622,SMF,9.92,85,-11,600
1,18,1,AA,177,JFK,17.75,400,52,4162
3,19,6,AA,1513,ORD,18.67,155,-12,1429
1,19,2,B6,1731,ORD,7,125,-9,1191
10,15,6,UA,1226,ORD,8.25,113,-16,1001
1,27,3,UA,127,ORD,18.5,271,5,2808
4,23,5,UA,530,ORD,7,83,-5,538
11,2,2,UA,1142,ORD,14.27,94,-12,761
6,22,2,OO,6040,ORD,20.98,110,3,940
11,28,0,OO,6085,ORD,19.07,100,104,764
2,9,0,B6,1134,JFK,13.17,74,-8,430
2,25,2,WN,527,SJC,14,70,-7,536
3,10,4,UA,1551,ORD,6,235,-16,2438
5,4,3,AA,1425,ORD,9.5,245,79,2778
2,4,2,OH,5661,JFK,15.75,83,20,296
2,17,1,OH,5212,JFK,12.25,75,30,233
5,26,4,AA,305,LGA,6.92,145,22,1180
0,7,1,UA,676,ORD,10,128,None,1180
7,4,1,OO,6009,ORD,16.83,96,59,764
8,29,1,B6,399,LGA,21,168,19,1529
3,15,2,B6,38,JFK,17.58,98,2,425
3,19,6,UA,374,SFO,11.65,208,17,2420
5,17,2,OO,6756,ORD,19.75,128,20,1244
7,27,3,UA,159,ORD,15.67,96,29,669
2,30,0,AA,655,JFK,7.17,235,23,2612
5,6,5,OH,5637,JFK,16.17,140,15,818
11,1,1,AA,313,ORD,11.75,270,85,2778
10,10,1,UA,176,SFO,11.73,335,49,4352
2,2,0,WN,2359,SMF,20.58,75,42,626
7,14,4,B6,38,JFK,13.58,77,43,425
1,23,6,WN,1463,SMF,12.25,75,3,639
4,10,6,B6,353,JFK,7.83,356,71,3967
0,1,2,OH,5366,ORD,17.5,155,27,1191
9,16,4,B6,99,JFK,9.75,382,24,4146
3,8,2,WN,2385,SMF,19,80,32,650
7,31,0,OO,6378,SFO,15.92,160,-24,1550
5,12,4,UA,265,ORD,9.85,200,63,2010
9,9,4,UA,640,ORD,21.4,111,54,975
9,3,5,OH,6664,JFK,14.5,90,14,425
7,15,5,UA,492,ORD,13.2,126,-2,1041
11,3,3,US,2130,LGA,14,65,-13,298
3,28,1,UA,365,ORD,10.23,261,84,2778
0,23,3,B6,1057,JFK,20.25,117,-19,547
8,24,3,AA,1101,ORD,18.75,155,155,1489
10,30,0,AA,454,ORD,13.58,105,92,1041
2,3,1,OH,5033,LGA,9.25,172,-19,1162
7,4,1,AA,127,JFK,15.42,330,16,3936
6,9,3,B6,353,JFK,7.83,350,7,3967
6,30,3,WN,3902,SFO,8.42,80,16,542
7,15,5,B6,640,SFO,8,336,74,4162
2,19,3,OO,4014,ORD,13.33,216,-8,2010
8,9,2,UA,314,ORD,21.37,82,80,663
5,10,2,AA,333,LGA,13.42,150,4,1180
4,15,4,WN,2188,SFO,13.17,80,43,542
2,16,0,AA,1843,ORD,11.5,275,3,2770
3,8,2,UA,577,ORD,17.25,266,16,2866
8,18,4,US,873,ORD,8.5,232,-35,2438
1,2,6,UA,610,ORD,11,105,55,985
5,7,6,AA,394,ORD,6.75,125,-10,1180
4,11,0,OH,5154,JFK,14.98,60,0,171
2,6,4,UA,929,ORD,16.5,265,-27,2773
5,3,2,UA,536,SJC,6.33,255,24,2943
5,8,0,WN,3427,SJC,18.42,120,14,1122
3,4,5,OO,5845,ORD,8.47,73,40,481
10,16,0,AA,496,ORD,6.33,100,-7,985
0,26,6,UA,1222,ORD,11.28,108,16,964
0,14,1,WN,2022,SJC,21.42,105,-21,999
7,19,2,UA,598,SFO,7.8,153,-12,1556
6,16,3,AA,1462,ORD,6.83,115,-5,1157
3,3,4,AA,313,LGA,8.83,165,26,1180
6,16,3,OO,5868,ORD,14.08,110,-10,1015
0,7,1,UA,395,ORD,17,265,167,2773
6,21,1,AA,411,ORD,18,250,32,2808
4,23,5,WN,107,SJC,12.08,60,13,476
2,4,2,HA,11,SFO,8.5,320,4,3859
5,12,4,AA,1199,ORD,8,155,-12,1574
6,8,2,UA,472,ORD,12.97,101,-10,850
8,28,0,UA,540,ORD,18.08,141,7,1395
1,28,4,OO,5451,SFO,18.42,79,153,402
7,3,0,AA,194,SFO,13.83,335,-1,4352
5,19,4,B6,57,JFK,13.33,168,-1,1654
6,6,0,AA,836,TUS,7.17,130,3,1308
1,2,6,AA,895,ORD,12.67,155,90,1429
1,24,0,UA,566,ORD,18.08,116,19,975
9,28,2,OO,5932,ORD,14.22,90,1,669
7,6,3,OH,5688,ORD,9.58,144,16,1191
3,21,1,UA,315,LGA,15.65,266,29,2606
3,18,5,WN,2615,TUS,18.5,70,2,591
5,20,5,UA,755,ORD,8.23,267,-3,2770
7,12,2,UA,618,ORD,14.92,111,59,985
3,8,2,AA,2423,ORD,15.5,85,None,649
6,3,4,WN,455,SMF,18.33,70,-7,576
4,1,4,OO,6022,ORD,11.07,74,69,378
5,27,5,B6,177,JFK,8.42,316,-15,3465
5,6,5,OH,5687,JFK,7.25,175,-10,1191
7,21,4,UA,1242,ORD,18.33,140,111,1366
8,14,0,UA,1671,ORD,18.95,236,161,2438
5,29,0,AA,353,LGA,18.42,160,None,1180
11,21,0,OO,5902,ORD,13.32,63,97,360
0,17,4,UA,1204,ORD,18.83,83,101,663
10,3,1,UA,1570,ORD,9.55,159,-8,1617
10,14,5,US,2167,LGA,9,78,None,344
2,11,2,B6,861,JFK,21.67,178,20,1617
9,17,5,UA,634,ORD,6.47,119,-16,1157
0,3,4,UA,818,ORD,21,125,None,1157
7,12,2,AA,1766,ORD,7.5,75,-14,378
3,6,0,UA,837,JFK,7.08,378,45,4162
6,12,6,AA,1540,TUS,14.17,140,-17,1308
6,23,3,B6,133,JFK,10.33,187,60,1728
11,8,1,WN,714,SFO,11.83,85,52,542
2,20,4,WN,558,SMF,7,235,18,2881
1,24,0,OO,6475,SMF,20.15,95,55,600
11,16,2,OO,6509,TUS,9.23,100,-4,726
0,3,4,UA,333,LGA,14,268,26,2606
8,28,0,OO,6398,SFO,20.67,91,6,840
1,26,2,UA,836,ORD,18,135,69,1180
10,30,0,US,274,SJC,6.33,110,5,999
6,27,0,B6,31,JFK,10.92,163,None,1519
1,24,0,AA,2357,ORD,20.42,145,35,1291
8,26,5,US,2134,LGA,16,73,64,298
8,14,0,AA,1449,ORD,7.25,280,-24,2971
8,14,0,B6,67,JFK,14.98,189,34,1720
2,18,2,UA,41,SFO,9.17,348,-2,3938
